Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 400kV N0 1 AGASSES (LES) - JONQUIERES;10400;3465;3622;3622;3780;0,206;2,707;22,42;142,744
LIT 400kV N0 1 AGASSES (LES) - TAVEL;15679;2462;2644;2644;2798;0,46;4,671;28,836;183,576
LIT 225kV NO 1 AIRVAULT-BONNEAU;52792;932;932;1145;1145;3,064;20,35;119,81;762,736
LIT 225kV NO 1 AIRVAULT-JUMEAUX (LES);5507;1249;1337;1337;1434;0,33;2,212;7,933;50,501
LIT 225kV NO 1 ALBERTVILLE-CHAVANOD;42135;617;685;685;742;4,46;17,21;60;
LIT 225kV NO 1 ALBERTVILLE-CONTAMINE;24925;565;673;673;765;2,352;10,043;35,358;225,097
LIT 225kV NO 1 ALBERTVILLE-LONGEFAN;43669;565;673;673;765;4,486;17,749;61,446;391,18
LIT 225kV NO 1 ALBERTVILLE-MALGOVERT;40633;565;673;673;765;3,54;16,64;55;
LIT 225kV NO 1 ALBERTVILLE-VENTHON-POSTE;3790;231;468;468;611;0,39;1,58;5;
LIT 400kV N0 1 ALBERTVILLE - GRANDE-ILE;40741;3099;3441;3441;3741;0,739;11,29;84,578;538,441
LIT 400kV N0 1 ALBERTVILLE-MONTAGNY-LES-LANCHES;37461;2170;2318;2318;2498;1,265;12,616;69,725;443,885
LIT 400kV NO 2 ALBERTVILLE-GRANDE-ILE;40772;3099;3441;3441;3741;0,74;11,298;84,641;538,84
LIT 400kV N0 3 ALBERTVILLE - GRANDE-ILE;44024;1926;2112;2112;2178;1,665;18,949;63,758;405,896
LIT 225kV NO 1 ALLINGES-CORNIER;36996;966;1076;1076;1168;2,42;14,488;53,992;343,724
LIT 225kV NO 2 ALLINGES-CORNIER;36992;966;1076;1076;1168;2,42;14,474;54,026;343,942
LIT 225kV NO 1 ANOULD-ETIVAL;47620;1070;1155;1155;1265;2,888;19,202;68,027;433,075
LIT 225kV NO 1 AOSTE-BISSY;24490;236;470;470;612;2,398;10,316;33,41;212,697
LIT 225kV NO 1 AQUEDUCS (LES)-CIROLLIERS;9163;827;1015;1015;1150;0,549;3,644;13,26;84,418
LIT 225kV NO 2 AQUEDUCS (LES)-CIROLLIERS;9206;1172;1285;1285;1388;0,551;3,674;13,256;84,388
LIT 225kV N0 3 AQUEDUCS (LES) - CIROLLIERS;9219;1172;1285;1285;1388;0,552;3,677;13,296;84,646
LIT 225kV NO 1 ARDOISE (L )-MOTTE (LA) (VILLENEUVE-LES-AVIGNON);15768;1025;1025;1200;1200;0,933;5,916;75,465;480,424
LIT 225kV NO 1 ARDOISE (L )-TAVEL;10819;1233;1320;1320;1389;0,649;4,346;15,591;99,257
LIT 225kV NO 2 ARDOISE (L )-TAVEL;10815;1233;1320;1320;1389;0,649;4,346;15,591;99,257
LIT 225kV N0 3 ARDOISE (L ) - TAVEL;10612;1233;1320;1320;1389;0,648;4,319;15,544;98,958
LIT 225kV NO 1 ARGIA (BAYONNE SUD)-MOUGUERRE;7967;635;635;870;870;0,369;2,591;92,171;586,781
LIT 225kV NO 2 ARGIA (BAYONNE SUD)-MOUGUERRE;7966;635;635;870;870;0,382;2,65;89,778;571,547
LIT 400kV N0 1 ARGIA (BAYONNE SUD) - CANTEGRIT;84265;2200;2300;2300;2400;2,581;28,1;145,899;
LIT 225kV NO 1 ARGIESANS-ETUPES;11145;654;758;758;857;0,867;4,44;15,641;99,573
LIT 225kV NO 1 ARGIESANS-SIERENTZ;54500;654;758;758;857;4,645;21,857;75,939;483,444
LIT 225kV N0 1 ARGOEUVES - BRAILLY-CORNEHOTTE;38875;894;944;944;1017;3,497;15,821;54,552;347,289
LIT 225kV NO 1 ARGOEUVES-BLOCAUX;41056;1250;1250;1250;1250;2,47;16,435;59,437;378,385
LIT 225kV NO 1 ARGOEUVES-BEAUCHAMPS;54086;753;925;925;1075;3,214;21,636;77,542;493,648
LIT 400kV N0 1 ARGOEUVES - CHEVALET;41973;3465;3622;3622;3780;0,842;11,054;91,517;582,616
LIT 400kV N0 1 ARGOEUVES - MANDARINS;118576;3465;3622;3622;3780;2,377;31,238;258,983;1648,737
LIT 400kV N0 1 ARGOEUVES - PENLY (POSTE EVACUATION);79739;3465;3622;3622;3780;1,213;20,654;180,166;1146,974
LIT 400kV N0 1 ARGOEUVES - TERRIER;83970;3465;3622;3622;3780;1,684;22,111;183,136;1165,88
LIT 400kV NO 2 ARGOEUVES-CHEVALET;42230;3465;3622;3622;3780;0,833;10,936;90,575;576,619
LIT 400kV NO 2 ARGOEUVES-PENLY (POSTE EVACUATION);79755;3465;3622;3622;3780;1,211;20,625;179,895;1145,246
LIT 400kV NO 2 ARGOEUVES-TERRIER;84037;3465;3622;3622;3780;1,686;22,134;183,2;1166,29
LIT 400kV N0 3 ARGOEUVES - TERRIER;81806;1514;1794;1794;2100;2,634;25,809;149,388;951,036
LIT 225kV NO 1 ARLOD-GENISSIAT-POSTE;5279;557;557;653;653;0,34;1,76;36;
LIT 225kV NO 1 ARNAGE-QUINTES (LES);5605;1249;1316;1316;1389;0,336;2,231;8,118;51,678
LIT 225kV NO 2 ARNAGE-QUINTES (LES);5558;1032;1124;1124;1212;0,328;2,216;8,207;52,246
LIT 225kV NO 1 ARRIGHI-CHARENTON;4511;220;220;340;340;0,137;0,47;204,221;1300,111
LIT 225kV NO 1 ARRIGHI-MORBRAS;22138;2008;2008;2300;2400;0,67;6,3;66,87;
LIT 225kV NO 1 ARRIGHI-VILLENEUVE-ST-GEORGES;6719;750;750;830;830;0,42;2,62;20,31;
LIT 225kV NO 2 ARRIGHI-CHARENTON;4473;220;220;340;340;0,139;0,473;205,901;1310,806
LIT 225kV NO 2 ARRIGHI-MORBRAS;22198;1980;2008;2250;2420;0,665;6,133;66,563;423,756
LIT 225kV NO 1 ATTAQUES (LES)-ECHINGHEN;36192;1002;1078;1078;1130;2,375;14,294;51,175;325,79
LIT 225kV NO 1 ATTAQUES (LES)-MANDARINS;10125;;;;;0,607;4,047;14,633;93,155
LIT 400kV NO 2 ATTAQUES (LES)-MANDARINS;10484;3465;3622;3622;3780;0,21;2,76;22,868;145,581
LIT 400kV NO 2 ATTAQUES (LES)-WARANDE;18221;3465;3622;3622;3780;0,365;4,799;39,752;253,068
LIT 225kV NO 1 AUBE-COMMERVEIL;54801;938;987;987;1041;4,993;22,672;76,131;484,664
LIT 225kV NO 1 AUBE-MEZEROLLES;97448;731;835;835;930;8,662;39,653;137,221;873,577
LIT 225kV NO 1 AUBUSSON-EGUZON;73228;894;991;991;1051;6,57;30,04;99;
LIT 225kV NO 1 AUBUSSON-MOLE (LA);68298;286;531;531;674;6,061;28,674;93,313;594,047
LIT 225kV NO 1 AULNOYE-PONT-SUR-SAMBRE;5897;975;1030;1030;1110;0,534;2,448;8,169;52,004
LIT 225kV NO 1 AUSSOIS-PRAZ-ST-ANDRE;10429;737;820;820;889;1,07;4,33;15;
LIT 225kV NO 1 AUZAT-TARASCON;15767;737;820;820;889;1,64;6,387;22,245;141,615
LIT 225kV NO 1 AVALLON-VIGNOL;35863;661;712;712;779;3,512;15,013;49,591;315,709
LIT 225kV NO 1 AVELIN-COURRIERES;18895;1273;1346;1346;1451;1,086;7,461;27,434;174,65
