tension;circuit;début;fin;codeNat_debut;codeNat_fin;x_debut;y_debut;x_fin;y_fin;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
400kV;1;AGASSES (LES);JONQUIERES;AGASS;JONQU;833488,7;6311078,22;827362,47;6304728,52;10400;3465;3622;3622;3780;0,206;2,707;22,422;142,744
400kV;1;AGASSES (LES);TAVEL;AGASS;TAVEL;833488,7;6311078,22;831766,12;6325302,14;15679;2462;2644;2644;2798;0,46;4,671;28,836;183,576
225kV;1;AIRVAULT;BONNEAU;AIRVA;BONN6;461815,92;6640665,9;500528,83;6614329,01;52792;932;932;1145;1145;3,064;20,35;119,81;762,736
225kV;1;AIRVAULT;JUMEAUX (LES);AIRVA;JUMEA;461815,92;6640665,9;465746,33;6638065,45;5507;1249;1337;1337;1434;0,33;2,212;7,933;50,501
225kV;1;ALBERTVILLE;LONGEFAN;ALBER;LONG6;966091,33;6512645,85;963125,21;6470593,89;43669;565;673;673;765;4,486;17,749;61,446;391,18
225kV;1;ALBERTVILLE;VENTHON-POSTE;ALBER;VEN.P;966091,33;6512645,85;964858,94;6515970,74;3790;231;468;468;611;0,39;1,58;5;
225kV;1;ALBERTVILLE;CHAVANOD;ALBER;CHAV6;966091,33;6512645,85;938859,57;6537405,29;42135;617;685;685;742;4,46;17,21;60;
400kV;1;ALBERTVILLE;MONTAGNY-LES-LANCHES;ALBER;M.LAN;966091,33;6512645,85;937102,21;6534109,34;37461;2170;2318;2318;2498;1,265;12,616;69,725;443,885
225kV;1;ALBERTVILLE;CONTAMINE;ALBER;CONTA;966091,33;6512645,85;977513,9;6494533,2;24925;565;673;673;765;2,352;10,043;35,358;225,097
225kV;1;ALBERTVILLE;MALGOVERT;ALBER;MALGO;966091,33;6512645,85;995305,09;6509202,75;40633;565;673;673;765;3,54;16,64;55;
400kV;1;ALBERTVILLE;GRANDE-ILE;ALBER;G.ILE;966091,33;6512645,85;936573,13;6490238,03;40741;3099;3441;3441;3741;0,739;11,29;84,578;538,441
400kV;2;ALBERTVILLE;GRANDE-ILE;ALBER;G.ILE;966091,33;6512645,85;936573,13;6490238,03;40772;3099;3441;3441;3741;0,74;11,298;84,641;538,84
400kV;3;ALBERTVILLE;GRANDE-ILE;ALBER;G.ILE;966091,33;6512645,85;936573,13;6490238,03;44024;1926;2112;2112;2178;1,665;18,949;63,758;405,896
225kV;1;ALLINGES;CORNIER;ALLIN;CORNI;967572,94;6587058,59;954457,58;6559211,94;36996;966;1076;1076;1168;2,42;14,488;53,992;343,724
225kV;2;ALLINGES;CORNIER;ALLIN;CORNI;967572,94;6587058,59;954457,58;6559211,94;36992;966;1076;1076;1168;2,42;14,474;54,026;343,942
225kV;1;ANOULD;ETIVAL;ANOUL;ETIVA;994212,67;6794553,09;986432,48;6815902,68;47620;1070;1155;1155;1265;2,888;19,202;68,027;433,075
225kV;1;AOSTE;BISSY;AOSTE;BISSY;903596,51;6501616,59;926000,96;6503192,81;24490;236;470;470;612;2,398;10,316;33,41;212,697
