"OBJECTID";"ID";"SYMBOLE";"ACTEUR";"MAJ";"MAJ_GEO";"TRACE";"CODNAT";"ADR_SITE";"LIB_SUITE";"FONCTION";"PORTIQUE";"POSTE_ISOLE";"ETAT";"U_MAX";"x";"y"
2;70000630;"+PE6";NA;774489600000;NA;1;"H.BOR";"HAUTE-BORNE";NA;"P";0;0;"E";6;637613,140000001;6884154,13
18;50000547;"+PE6";"VC";1338975949000;1338975899000;1;"BACAL";"BACALAN";NA;"P";0;0;"E";6;419966,579999998;6426537,67
19;40000372;"+PE6";"SDP";610761600000;1396618089000;1;"AVIGN";"AVIGNON";"(POSTE)";"P";0;0;"E";6;848889,359999999;6318333,91
22;70001660;"+PE6";"CFP";830217600000;1410782929000;1;"MALEC";"MALECOT";NA;"P";0;0;"E";6;670289,049999997;6823137,3
23;70001578;"+PE6";"JPP";950140800000;1092735757000;1;"SENAR";"SENART";NA;"P";0;0;"E";6;671052,579999998;6834479,79
25;70001566;"+PE6";"CGP";956793600000;1291893880000;1;"ARVIG";"ARVIGNY";"(SOGIS)";"P";0;0;"E";6;668255,520000003;6835255,89
26;70001632;"+PE6";"FL";774489600000;1241011011000;1;"PLISO";"PLISON";NA;"P";0;0;"E";6;675415,039999999;6827705,82
28;70001009;"+PE6";"VC";8,26848e+11;1257439252000;1;"PUTEA";"PUTEAUX";NA;"P";0;0;"E";6;643740,530000001;6863901,91
44;50000414;"+PE7";"SDP";1,005264e+12;1393847649000;1;"CUBNE";"CUBNEZAIS";NA;"P";0;0;"E";7;429709,649999999;6446896,97
45;30000556;"+PE7";"CA";956102400000;1407237934000;1;"BAYET";"BAYET";NA;"P";0;0;"E";7;721644,590000004;6574840,6
46;30003528;"+PE6";NA;1,06056e+12;NA;1;"IZERN";"IZERNORE";NA;"P";0;0;"E";6;896616,68;6569798,51
48;70000977;"+PE6";"CGP";774489600000;1278951262000;1;"ALSAC";"ALSACE";NA;"P";0;0;"E";6;644966,950000003;6866451,26
54;70051604;"+PE6";"CFP";1424191467000;1424252009000;1;"LAGAF";"LAGAFIERE";"(EURODIF)";"P";0;0;"E";6;835341,390000001;6361533,6
56;30000698;"+PE6";"CGP";610761600000;1287420441000;1;"VALLO";"VALLORCINE";NA;"P";0;0;"E";6;1005241,34;6557764,82
66;60000957;"+PE7";"MBP";610761600000;1367252066000;1;"TABAR";"TABARDERIE";NA;"P";0;0;"E";7;665633,579999998;6739221,27
76;70002794;"+PE6";NA;1078790400000;NA;1;"GUESD";"GUESDE";"(CPCU)";"P";0;0;"E";6;657842,869999997;6854302,73
85;50002059;"+PE6";NA;1013126400000;NA;1;"LAPAR";"LAPARAN";NA;"P";0;0;"E";6;590526,840000004;6179344,38
89;60001137;"+PE6";"RTP";1258713510000;1309861952000;1;"SSBA5";"ST-BARTHELEMY";NA;"P";0;0;"E";6;435351,5;6713970,69
92;60001122;"+PE6";NA;610761600000;NA;1;"CORBI";"CORBIERE (LA)";NA;"P";0;0;"E";6;438139,270000003;6715250,67
100;70006902;"+PE6";"smo";1179938359000;1325588081000;1;"MARET";"MARETTE (LA)";"(RENAULT CLEON)";"P";0;0;"E";6;557948,979999997;6913558,41
102;10000247;"+PE6";"FL";1179936875000;1126612293000;1;"L.DEL";"LILLE-DELIVRANCE";"(S.N.C.F.)";"P";0;0;"E";6;699542,240000002;7060132,45
110;60001084;"+PE7";"RTP";787276800000;1325781300000;1;"PICOC";"PICOCHERIE (LA)";"(S.N.C.F.)";"P";0;0;"E";7;547798,049999997;6721133,57
113;70056183;"+PU6";"JUL";1426855013000;1426851425000;1;"MTGRO";"MONTGROS";NA;"P";0;0;"U";6;756929,587200001;6410494,0408
115;70057695;"+PU6";"JUL";1438885746000;1438885729000;1;"PRAL5";"PRALONG";NA;"P";0;0;"U";6;978598,479099996;6392994,0812
116;70058904;"+PU6";"CFP";1442313474000;1442313488000;1;"PAPIN";"PAPIN";NA;"P";0;0;"U";6;840506,4956;6473162,5426
117;70059204;"+PU6";"CFP";1448540727000;1448538692000;1;"SSGCO";"SAINT-GERAUD-DE-CORPS";NA;"P";0;0;"U";6;482072,671899997;6430516,0456
118;70060495;"+PU6";"JUL";1458131175000;1456744305000;1;"MIOLL";"MIOLLES";"(ERDF)";"P";0;0;"U";6;665243,655900002;6308434,8853
119;70060595;"+ZU6";"JUL";1458131192000;1456931134000;1;"ZMIOL";"PIQUAGE MIOLLES (LIAISON GOURJZ61SSVIC)";"LIAISON N°1 225 KV (GOURJ - MIOLL - SSVIC)";"Z";0;0;"U";6;665108,831699997;6308659,9469
124;70059304;"+ZU6";"CFP";1448540697000;1448538954000;1;"ZSS11";"PIQUAGE A SAINT-GERAUD-DE-CORPS";"Liaison n°1 225 kV (CUBNE - SSGCO - TUILI)";"Z";0;0;"U";6;482086,580499999;6430369,7383
125;70062411;"+PU6";"LCP";1467384217000;1467384135000;1;"PRINQ";"PRINQUIAU";NA;"P";0;0;"U";6;321323,289800003;6707172,9976
126;70062511;"+PU6";"LCP";1467384500000;1467384425000;1;"B.GUE";"BANC-DE-GUERANDE";"SITE EN MER (OFFSHORE)";"P";0;0;"U";6;301474,629600003;6695174,991
127;70059664;"+PU7";"JUL";1467386948000;1449488614000;1;"PEUP5";"PEUPLINGUES";"(SOUS-STATION ELECLINK)";"P";0;0;"U";7;614070,8851;7092242,5578
129;70061211;"+PU6";"JUL";1467392646000;1461924759000;1;"AUBE6";"AUBERVILLIERS";"CODIFICATION PROVISOIRE A CHANGER A L'APD";"P";0;0;"U";6;653700,771600001;6868143,7886
142;60000067;"+PE6";NA;610761600000;NA;1;"RAN.P";"RANCE-POSTE";NA;"P";0;0;"E";6;328976,350000001;6847098,75
143;70000834;"+PE6";"FL";956793600000;1189516782000;1;"DRANC";"DRANCY";"(S.N.C.F.)";"P";0;0;"E";6;659219,369999997;6870469,13
150;30001514;"+PE7";"CAP";610761600000;1319106146000;1;"COCHE";"COCHE (LA)";NA;"P";0;0;"E";7;974623,32;6494111,34
153;70001325;"+PE6";"JPP";774489600000;1123500937000;1;"CHEVI";"CHEVILLY";NA;"P";0;0;"E";6;651859,229999997;6852358,52
163;30000799;"+PE6";NA;610761600000;NA;1;"JOUX ";"JOUX";NA;"P";0;0;"E";6;833395,549999997;6546976,27
