Identifiant géographique / Asset location;Rd1 à Prise moy / One-phase resistance at medium tap;Xd1 à Prise moy / One-phase reactance at medium tap;Rd2 à Prise moy / Two-phase resistance at medium tap;Xd2 à Prise moy / Two-phase reactance at medium tap;Rd3 à Prise moy / Three-phase resistance at medium tap;Xd3 à Prise moy / Three-phase reactance at medium tap;U1r sur Prise moy / Primary voltage;U2r sur Prise moy / Secondary voltage;IPE_T / ISTE: max intensity (Amp) in summer period;IPH1_T / ISTH1: max intensity in Winter period
TRANSF. 400/225kV 762 EGUZON;0,25;68,3;0,77;-5,7;1,93;302;380;235;847;921
TRANSF. 400/225kV 761 TRANS;0,09;45,9;0,37;-10;5,44;129,6;388;240;1560;1803
TRANSF. 400/225kV 762 TRANS;0,11;45,6;0,35;-9,6;5,22;129;388;240;1659;1803
TRANSF. 400/225kV 762 VERFEIL;0,14;42,1;0,33;-6,3;4,91;122,1;388;240;1660;1805
TRANSF. 400/225kV 761 VIELMOULIN;0,7;68,7;0,46;-11,9;5,07;209,1;380;235;839;912
TRANSF. 400/225kV 762 TAVEL;0,25;70,7;0,74;-8,3;7,14;302,8;380;235;847;921
TRANSF. 400/225kV 763 TAVEL;0,14;42,6;0,33;-6,6;4,97;124,9;388;240;1660;1805
TRANSF. 400/225kV 764 TAVEL;0,15;42,5;0,32;-6,5;5;125;388;240;1660;1805
TRANSF. 400/225kV 763 VAUPALIERE (LA);0,32;45,1;0,25;-8,9;2,53;119,1;388;240;1659;1803
TRANSF. 400/225kV 764 VAUPALIERE (LA);0,12;42,8;0,35;-6,7;4,93;122,3;388;240;1659;1803
TRANSF. 400/225kV 762 VIELMOULIN;0,25;45,2;0,22;-9,1;2,51;123,1;388;240;1659;1803
TRANSF. 400/225kV 763 VIELMOULIN;0,5;69,4;0,65;-12,7;5,44;213,2;380;235;839;912
TRANSF. 400/225kV 763 VIGY;0,13;42,8;0,34;-6,8;4,92;122,3;388;240;1659;1803
TRANSF. 400/225kV 761 TABARDERIE;0,66;71;0,47;-13,4;5,39;209;380;235;839;912
TRANSF. 400/225kV 763 TOURBE;0,24;46,2;0,26;-9;2,63;123,2;388;240;1661;1806
TRANSF. 400/225kV 764 TOURBE;0,29;45,5;0,18;-9,2;2,52;122,2;388;240;1661;1806
TRANSF. 400/225kV 762 VILLEVAUDE;0,27;45,8;0,21;-9,3;2,62;123,9;388;240;1659;1803
TRANSF. 400/225kV 762 ROUGEMONTIER;0,06;71,8;0,97;-8,2;7,2;289,2;380;235;847;921
TRANSF. 400/225kV 763 ROUGEMONTIER;0,41;44,8;0,07;-9;2,84;120,8;388;240;1659;1803
TRANSF. 400/225kV 765 ROUGEMONTIER;0,2;44,6;0,26;-9,5;2,51;119;388;240;1659;1803
TRANSF. 400/225kV 765 VINCEY;0,09;42,4;0,37;-6,6;4,98;124,3;388;240;1659;1803
TRANSF. 400/225kV 766 VINCEY;0,29;45,2;0,18;-9,1;2,46;119,4;388;240;1659;1803
TRANSF. 400/225kV 763 VILLEVAUDE;0,1;42,5;0,36;-6,8;4,9;124,2;388;240;1660;1805
TRANSF. 400/225kV 764 VILLEVAUDE;0,04;42,3;0,42;-6,5;4;124,9;388;240;1660;1805
TRANSF. 400/225kV 761 TAMAREAU;0,25;45;0,23;-8,7;2,64;120,3;388;240;1659;1803
TRANSF. 400/225kV 761 VALDIVIENNE;0,02;68,1;1,01;-5,7;6,09;296;390;235;847;921
TRANSF. 400/225kV 762 VALDIVIENNE;0,17;69,2;0,82;-6,6;5,7;303;380;235;847;921
TRANSF. 400/225kV 761 VILLEJUST;0,08;42,4;0,39;-6,4;4,98;121,8;388;240;1659;1803
TRANSF. 400/225kV 762 VILLEJUST;0,1;42,4;0,36;-6,5;4,92;124,2;388;240;1659;1803
TRANSF. 400/225kV 763 VILLEJUST;0,29;45,5;0,18;-9,2;2,72;122,9;388;240;1659;1803
TRANSF. 400/225kV 764 VILLEJUST;0,24;45,4;0,25;-9,6;2,55;120,7;388;240;1659;1803
TRANSF. 400/225kV 765 VILLEJUST;0,3;46;0,19;-9;2,63;120,6;388;240;1659;1803
TRANSF. 400/225kV 763 TAMAREAU;0,02;42,5;0,45;-6,6;4,84;122,4;388;240;1659;1803
TRANSF. 400/225kV 761 WARANDE;0,28;44,8;0,22;-9,3;2,62;120,9;388;240;1659;1803
TRANSF. 400/225kV 762 WARANDE;0,26;45,2;0,21;-9,8;2,58;119,5;388;240;1659;1803
TRANSF. 400/225kV 763 WARANDE;0,33;44,3;0,16;-9;2,61;120;388;240;1659;1803
TRANSF. 400/225kV 764 WARANDE;0,2;44,9;0,28;-8,7;2,51;120,6;388;240;1659;1803
TRANSF. 400/225kV 761 WEPPES;0,31;46,4;0,19;-9,8;2,69;119,9;388;240;1659;1803
TRANSF. 400/225kV 762 WEPPES;0,27;45,7;0,21;-9,3;2,61;121,3;388;240;1659;1803
TRANSF. 400/225kV 761 YVELINES-OUEST;0,112;43,1;0,36;-6,9;4,98;124,1;388;240;1659;1803
TRANSF. 400/225kV 762 CHARPENAY;0,05;70,9;0,91;-7,5;6,72;308;380;235;847;921
TRANSF. 400/225kV 768 CRENEY;0,11;42,4;0,35;-6,5;4,91;124,8;388;240;1659;1803
TRANSF. 400/225kV 763 CORDEMAIS-POSTE;0,07;42,4;0,4;-6,5;4,85;124,9;388;240;1659;1803
TRANSF. 400/225kV 765 CORDEMAIS-POSTE;0,7;70,4;0,48;-13,7;5,49;213;380;235;847;921
TRANSF. 400/225kV 769 CORDEMAIS-POSTE;0,43;63;0,56;-8,5;5,53;280,5;380;235;847;921
TRANSF. 400/225kV 760 DISTRE;0,05;42,5;0,42;-6,6;4,89;122;388;240;1659;1803
TRANSF. 400/225kV 761 CUBNEZAIS;0,29;44,8;0,19;-9,2;2,61;122,4;388;240;1655;1800
TRANSF. 400/225kV 762 DISTRE;0,57;72,8;0,58;-12,8;4,88;221,3;380;235;840;913
TRANSF. 400/225kV 765 DISTRE;0,15;74,8;0,9;-11,7;6,9;298,9;380;235;849;923
TRANSF. 400/225kV 766 DISTRE;0,03;42,4;0,44;-6,5;4,88;125;388;240;1659;1803
TRANSF. 400/225kV 762 CUBNEZAIS;0,05;42,4;0,4;-6,5;4,72;123,6;388;240;1655;1800
TRANSF. 400/225kV 761 CANTEGRIT;0,09;42,5;0,39;-6,6;4,93;121,8;388;240;1659;1803
TRANSF. 400/225kV 762 CANTEGRIT;0,06;42,7;0,42;-6,6;4,92;123,4;388;240;1659;1803
TRANSF. 400/225kV 764 DOMLOUP;0,25;43,7;0,23;-8,4;2,59;118,5;388;240;1659;1803
TRANSF. 400/225kV 765 DOMLOUP;0,09;42,6;0,4;-6,8;5,02;121,4;388;240;1659;1803
TRANSF. 400/225kV 761 CAPELLE (LA);0,087;45,77;0,374;-9,99;5,575;128,7;388;240;1445;1803
TRANSF. 400/225kV 761 CHAMPAGNIER;0,11;42,4;0,35;-6,7;4,98;121,7;388;240;1659;1803
TRANSF. 400/225kV 762 CHAMPAGNIER;0,09;42,6;0,39;-6,6;4,91;121,5;388;240;1659;1803
TRANSF. 400/225kV 761 CORNIER;0,28;45,5;0,19;-9,2;2,49;120,2;388;240;1659;1803
TRANSF. 400/225kV 761 CHESNOY (LE);0,14;42,3;0,33;-6,2;4,81;123,9;388;240;1659;1803
TRANSF. 400/225kV 762 DONZAC;0,13;42,2;0,34;-6,4;5,03;124,8;388;240;1659;1803
TRANSF. 400/225kV 761 DAMBRON;0,09;42,4;0,38;-6,5;5,01;124,8;388;240;1655;1800
TRANSF. 400/225kV 761 ECHALAS;0,27;45,7;0,21;-9,5;2,64;125,5;388;240;1659;1803
TRANSF. 400/225kV 762 ECHALAS;;;;;;;;;;
TRANSF. 400/225kV 762 CORNIER;0,27;45,7;0,2;-9,1;2,49;119,6;388;240;1659;1803
TRANSF. 400/225kV 761 CIROLLIERS;0,32;45,7;0,17;-9,4;2,55;122,5;388;240;1659;1803
TRANSF. 400/225kV 762 CIROLLIERS;0,28;45,8;0,21;-9,3;2,58;121,9;388;240;1659;1803
TRANSF. 400/225kV 763 CIROLLIERS;0,25;45,8;0,19;-9,5;2,39;121,2;388;240;1659;1803
TRANSF. 400/225kV 762 BREUIL (LE);0,4;68,6;0,75;-11,3;4,98;206,3;380;235;847;921
TRANSF. 400/225kV 761 BOUTRE;0,08;42,3;0,4;-6,4;5;124,7;388;240;1659;1803
TRANSF. 400/225kV 762 BOUTRE;0,09;42,6;0,38;-6,9;4,87;120,3;388;240;1660;1805
TRANSF. 400/225kV 761 CHAINGY;0,23;45,2;0,24;-9,7;2,48;121,7;388;240;1655;1800
TRANSF. 400/225kV 762 CHAINGY;0,25;44,7;0,21;-9,3;2,54;122,8;388;240;1655;1800
TRANSF. 400/225kV 762 BEZAUMONT;0,15;71,3;0,85;-8,1;6,69;307,6;380;235;847;921
TRANSF. 400/225kV 761 BAYET;0,62;70;0,54;-13,8;5,42;209,2;380;235;839;912
TRANSF. 400/225kV 762 BAYET;0,71;70,5;0,51;-13;5,32;212,5;380;235;775;910
TRANSF. 400/225kV 763 BAYET;0,68;70,6;0,54;-13;5,35;215,4;380;235;795;912
TRANSF. 400/225kV 761 BRAUD;0,05;70,3;0,96;-7;8,14;305;380;235;884;961
TRANSF. 400/225kV 761 CALAN;0,082;45,95;0,373;-9,98;5,504;129,82;388;240;1540;1803
TRANSF. 400/225kV 761 OUDON;0,14;44,8;0,31;-5,89;3,57;89;405;240;1659;1803
TRANSF. 400/225kV 761-(769) CERGY;0,59;68,7;0,41;-12,7;4,93;204,2;380;235;814;850
TRANSF. 400/225kV 769 TRICASTIN-POSTE (LE);0,18;42,6;0,3;-7;4,9;121,5;388;240;1660;1805
TRANSF. 400/225kV 760 TRICASTIN-POSTE (LE);0,18;42,6;0,3;-7;4,9;121,5;388;240;1659;1803
TRANSF. 400/225kV 764 MARQUIS (LE);0,099;40,11;0,245;-4,58;4,407;131,9;388;240;1659;1803
TRANSF. 400/225kV 761 BIANCON;0,24;43,1;0,28;-7,9;2,42;120,2;388;240;1620;1803
TRANSF. 400/225kV 761 FRASNE;0,001;73,8;1,06;-9,3;8,78;206,3;405;240;830;902
TRANSF. 400/225kV 761 ALBERTVILLE;-1,75;-39,42;2,08;83,92;2,35;29,55;380;225;845;884
TRANSF. 400/225kV 761 ALBERTVILLE;-1,75;-39,42;2,08;83,92;2,35;29,55;380;225;845;884
TRANSF. 400/225kV 761 ALBERTVILLE;-1,75;-39,42;2,08;83,92;2,35;29,55;380;225;845;884
TRANSF. 400/225kV 761 PLESSIS-GASSOT;0,32;45,9;0,16;-9,6;2,56;122,1;388;240;1500;1800
TRANSF. 400/225kV 762 PLESSIS-GASSOT;0,08;42,3;0,39;-6,4;5;124,6;388;240;1655;1800
TRANSF. 400/225kV 763 PLESSIS-GASSOT;0,29;45,2;0,22;-9,6;2,68;122,8;388;240;1655;1800
TRANSF. 400/225kV 764 PLESSIS-GASSOT;0,28;44,6;0,22;-8,9;2,56;118;388;240;1655;1800
TRANSF. 400/225kV 761 MEZEROLLES;0,27;45,4;0,22;-9,3;2,7;122,8;388;240;1659;1803
TRANSF. 400/225kV 762 MEZEROLLES;0,54;69,6;0,64;-13,2;4,89;207;380;235;847;921
TRANSF. 400/225kV 763 MEZEROLLES;0,14;42,4;0,31;-6,3;2,59;124;388;240;1659;1803
TRANSF. 400/225kV 764 MEZEROLLES;0,28;45,5;0,21;-9,6;2,64;123,3;388;240;1659;1803
TRANSF. 400/225kV 765 PLESSIS-GASSOT;0,28;45,1;0,19;-9,1;2,51;121,1;388;240;1655;1800
TRANSF. 400/225kV 761 GALOREAUX (LES);0,119;39,64;0,225;-4,53;4,406;130,6;388;240;1659;1803
TRANSF. 400/225kV 763 PLAINE HAUTE;0,31;45,8;0,18;-9,4;2,57;121,3;388;240;1659;1803
TRANSF. 400/225kV 761 PRAZ-ST-ANDRE;0,11;67,9;0,87;-6;7,09;296,8;380;235;847;921
TRANSF. 400/225kV 762 TABARDERIE;;;;;;;;;839;912
TRANSF. 400/225kV 762 TAMAREAU;0,13;42,4;0,33;-6,6;5,05;124,5;388;240;1659;1803
TRANSF. 400/225kV 761 VERFEIL;0,14;42,6;0,34;-6,8;4,94;121,1;388;240;1660;1805
TRANSF. 400/225kV 761 VIGY;0,15;42,7;0,29;-6,8;4,94;122,4;388;240;1659;1803
TRANSF. 400/225kV 761 BEZAUMONT;0,16;70,6;1,13;-7,4;6,95;307,4;380;235;847;921
TRANSF. 400/225kV 762 MAZURES;0,73;67,6;0,44;-10,3;5,31;211,3;380;235;847;921
TRANSF. 400/225kV 761 ROUGEMONTIER;;;;;;;;;;
TRANSF. 400/225kV 764 ROUGEMONTIER;0,99;62,6;;;;;380;235;;
TRANSF. 400/225kV 761 CHARPENAY;0,57;71,2;0,56;-13,3;6,1;214,8;380;235;847;921
TRANSF. 400/225kV 761 TERRIER;0,02;42,4;0,44;-6,5;5,01;124,8;388;240;1655;1800
TRANSF. 400/225kV 762 TERRIER;0,31;45,6;0,18;-9,3;2,53;119,8;388;240;1655;1800
TRANSF. 400/225kV 763 REALTOR;0,11;41,8;0,36;-6,3;4,92;120,5;388;240;1660;1805
TRANSF. 400/225kV 762 VESLE;0,16;42,9;0,32;-6,7;4,73;123,8;388;240;1659;1803
TRANSF. 400/225kV 763 VESLE;0,14;43,3;0,32;-7,2;5,12;123,1;388;240;1659;1803
TRANSF. 400/225kV 762 VAUPALIERE (LA);0,32;45,2;0,17;-9,3;2,55;119,9;388;240;1659;1803
TRANSF. 400/225kV 761 CORDEMAIS-POSTE;0,29;45,8;0,19;-9,8;2,55;121,2;388;240;1659;1803
TRANSF. 400/225kV 761 MARSILLON;1,0633;45,62;0,73849;-9,69;0,02035;129,13;;;1660;1805
TRANSF. 400/225kV 766 VILLEJUST;0,094;39,2;0,24;-3,8;4,47;131,6;388;240;1659;1803
TRANSF. 400/225kV 761 REMISE;;;;;;;;;829;901
TRANSF. 400/225kV 763 CHESNOY (LE);0,23;67,3;0,79;-4,9;2,31;295,9;380;235;1659;1803
TRANSF. 400/225kV 766 CRENEY;-1,66;-31,53;2,04;68,03;2,26;27;380;225;;
TRANSF. 400/225kV 765 CRENEY;-1,45;-34,83;1,79;77,13;2,02;27,23;380;225;;
TRANSF. 400/225kV 761 JUMEAUX (LES);0,1;70,1;0,9;-6,8;6,8;290,8;380;235;847;921
TRANSF. 400/225kV 762 JUMEAUX (LES);0,44;69,3;0,71;-11,8;5,03;210,8;380;235;847;921
TRANSF. 400/225kV 761 GAUDIERE (LA);0,86;74,5;0,34;-17,7;6;216;380;235;847;921
TRANSF. 400/225kV 762 GAUDIERE (LA);0,07;42,7;0,4;-6,8;4,96;124,8;388;240;1660;1805
TRANSF. 400/225kV 761 GAVRELLE;0,12;42,2;0,34;-6,4;4,87;124,2;388;240;1659;1803
TRANSF. 400/225kV 762 HAVRE (LE) (POSTE);0,11;42,5;0,35;-6,7;4,9;121,7;388;240;1659;1803
TRANSF. 400/225kV 763 HAVRE (LE) (POSTE);0,06;42,3;0,4;-6,6;4,79;123,8;388;240;1659;1803
TRANSF. 400/225kV 762 JONQUIERES;0,29;45,6;0,19;-9,2;2,53;120,3;388;240;1659;1803
TRANSF. 400/225kV 761 SCHEER;0,48;35,9;;;;;388;240;1659;1803
TRANSF. 400/225kV 761 SAUCATS;0,26;45,1;0,22;-9;2,53;122,2;388;240;1659;1803
TRANSF. 400/225kV 762 SAUCATS;0,13;42,2;0,35;-6,4;4,94;120,4;388;240;1660;1805
TRANSF. 400/225kV 761 REALTOR;0,12;41,7;0,34;-6,6;4,95;118,8;388;240;1660;1805
TRANSF. 400/225kV 762 REALTOR;0,14;42,7;0,35;-6,6;4,94;122,1;388;240;1660;1805
TRANSF. 400/225kV 761 QUINTES (LES);0,18;42,9;0,31;-6,7;5,94;122,2;388;240;1659;1803
TRANSF. 400/225kV 762 QUINTES (LES);0,11;42,3;0,36;-6,4;5,04;124,2;388;240;1660;1805
TRANSF. 400/225kV 761 RUEYRES;0,4;69,2;0,75;-12;4,9;211,7;380;235;840;913
TRANSF. 400/225kV 762 RUEYRES;0,52;71,6;0,68;-11,6;2,75;224,5;380;235;840;913
TRANSF. 400/225kV 761 RULHAT;0,58;70,8;0,57;-11;2,41;221,6;380;235;847;921
TRANSF. 400/225kV 762 RULHAT;0,61;67,8;0,59;-10,5;5,29;210,4;380;235;847;921
TRANSF. 400/225kV 764 REVIGNY;0,59;69,3;0,59;-10,9;2,51;220,8;380;235;850;925
TRANSF. 400/225kV 765 REVIGNY;0,09;42,8;0,37;-6,8;4,77;121,5;388;240;1659;1803
TRANSF. 400/225kV 762 SIERENTZ;0,56;69,9;1,14;-12,9;5,25;211,9;380;235;840;913
TRANSF. 400/225kV 763 SIERENTZ;0,29;69,8;0,72;-7,1;7,16;302,4;380;235;840;913
TRANSF. 400/225kV 764 SIERENTZ;0,62;69,9;0,51;-12,7;5,41;208,3;380;235;840;913
TRANSF. 400/225kV 765 ST-ELOI;0,35;68,5;0,66;-7,5;6,95;307,5;380;235;810;847
TRANSF. 400/225kV 766 ST-ELOI;0,07;68,3;1,08;-5,6;7,28;298,6;380;235;810;847
TRANSF. 400/225kV 761 PONTEAU;0,24;43,1;0,28;-7,9;2,42;120,2;388;240;1659;1803
TRANSF. 400/225kV 761 SAUSSET;0,27;43;0,17;-6,9;2,39;121,7;388;240;1659;1803
TRANSF. 400/225kV 761 SEREIN;0,09;42,7;0,4;-6,7;4,95;122,1;388;240;1659;1803
TRANSF. 400/225kV 762 SEREIN;0,12;42,7;0,37;-6,7;5,21;125,4;388;240;1659;1803
TRANSF. 400/225kV 761 ST-AVOLD;0,13;42,6;0,29;-6,8;4,6;124,6;388;240;1659;1803
TRANSF. 400/225kV 761 MARQUIS (LE);0,55;73,1;0,65;-20,8;5,39;212,8;380;225;833;871
TRANSF. 400/225kV 763 MARQUIS (LE);0,41;62,7;0,75;-12,3;5,64;191,3;380;225;845;884
TRANSF. 400/225kV 761 NEOULES;0,13;42;0,34;-6,2;4,91;122,5;388;240;1659;1803
TRANSF. 400/225kV 762 NEOULES;0,28;45,1;0,21;-9;2,59;120,3;388;240;1659;1803
TRANSF. 400/225kV 765  (769) VILLEVAUDE;0,24;72;0,76;-9,1;7,15;307,2;380;235;847;921
TRANSF. 400/225kV 761 BEAUMONT-MONTEUX;0,23;45,3;0,21;-9,4;2,39;121,5;388;240;1659;1803
TRANSF. 400/225kV 762 BEAUMONT-MONTEUX;0,25;45,4;0,18;-9,6;2,46;120,6;388;240;1659;1803
TRANSF. 400/225kV 761 AVELIN;0,29;45,7;0,21;-9,4;2,61;122,1;388;240;1659;1803
TRANSF. 400/225kV 762 AVELIN;0,28;45,2;0,21;-9,2;2,62;122,4;388;240;1659;1803
TRANSF. 400/225kV 763 AVELIN;0,28;45,4;0,21;-9,4;2,6;120,1;388;240;1659;1803
TRANSF. 400/225kV 761 ARGIA (BAYONNE SUD);0,17;42,4;0,31;-6,8;4,89;124,7;388;240;1659;1803
TRANSF. 400/225kV 761 ARGOEUVES;0,28;45,2;0,21;-9,1;2,58;122,3;388;240;1659;1803
TRANSF. 400/225kV 763 ARGOEUVES;0,31;46,2;0,18;-9,8;2,56;123,2;388;240;1659;1803
TRANSF. 400/225kV 761 BAIXAS;;74,1;1,08;-9,1;8,88;206,5;405;240;829;901
TRANSF. 400/225kV 762 BAIXAS;;73,8;1,06;-9,3;8,78;206,3;405;240;829;901
TRANSF. 400/225kV 761 AVOINE (POSTE 400 KV);0,51;69,4;0,65;-12,4;5,01;205,8;380;235;840;913
TRANSF. 400/225kV 762 ALBERTVILLE;0,24;43,1;0,28;-7,9;2,42;120,2;388;240;1659;1803
TRANSF. 400/225kV 763 ALBERTVILLE;0,11;45,9;0,35;-10;5,47;129,1;388;240;;
TRANSF. 400/225kV 761 BROC-CARROS (LE);0,1;42,3;0,36;-6,5;4,94;123,5;388;240;1659;1803
TRANSF. 400/225kV 762 BROC-CARROS (LE);0,26;45,5;0,22;-9,3;2,53;121,1;388;240;1659;1803
TRANSF. 400/225kV 761 ATTAQUES (LES);0,01;74,3;0,95;-4,5;6,88;297,8;380;235;847;921
TRANSF. 400/225kV 762 ATTAQUES (LES);0,37;68,1;0,76;-10,9;4,9;209,9;380;235;847;921
TRANSF. 400/225kV 761 CAZARIL;0,43;69,9;0,72;-12,1;4,95;207,1;380;235;847;921
TRANSF. 400/225kV 762 CAZARIL;0,55;68,9;0,47;-12,6;4,86;204,1;380;235;810;847
TRANSF. 400/225kV 761 BOISSE (LA);0,07;42,4;0,39;-6,5;4,89;124,5;388;240;1659;1803
TRANSF. 400/225kV 763 CERGY;0,24;45,4;0,24;-8,9;2,6;120,8;388;240;1655;1800
TRANSF. 400/225kV 764 CERGY;0,27;45,9;0,22;-9,3;2,61;123,1;388;240;1655;1800
TRANSF. 400/225kV 765 CERGY;0,26;45,2;0,17;-9,2;2,63;122,3;388;240;1655;1800
TRANSF. 400/225kV 762 BOISSE (LA);;39,8;0,51;-4;4,74;121,2;388;240;1659;1803
TRANSF. 400/225kV 761 MORBRAS;0,25;45,4;0,22;-9,1;2,46;121,5;388;240;1659;1803
TRANSF. 400/225kV 762 MORBRAS;0,27;45,5;0,22;-9,5;2,58;122,1;388;240;1659;1803
TRANSF. 400/225kV 763 MORBRAS;0,28;45,2;0,21;-8,9;2,65;123,5;388;240;1659;1803
TRANSF. 400/225kV 764 MORBRAS;0,31;45,4;0,18;-9,4;2,66;120;388;240;1659;1803
TRANSF. 400/225kV 761 MARLENHEIM;0,06;42,4;0,42;-6,5;5;124,6;388;240;1659;1803
TRANSF. 400/225kV 762 MARLENHEIM;0,08;44,2;0,38;-8,4;4,95;122,2;388;240;1659;1803
TRANSF. 400/225kV 761 MIONS;0,14;42,4;0,33;-6,6;5,01;125,1;388;240;1659;1803
TRANSF. 400/225kV 762 MIONS;0,14;42;0,31;-6,4;4,85;120,1;388;240;1659;1803
TRANSF. 400/225kV 766 LOGELBACH;0,64;69,9;0,53;-13,2;5,38;212,5;380;235;840;913
TRANSF. 400/225kV 767 LOGELBACH;0,57;70,3;0,62;-13,2;5,11;210;380;235;840;913
TRANSF. 400/225kV 761 MAMBELIN;0,22;70;0,74;-7,8;7,17;300,6;380;235;840;913
TRANSF. 400/225kV 762 MAMBELIN;0,19;70,9;0,78;-8;7,02;302,8;380;235;840;913
TRANSF. 400/225kV 763 MAMBELIN;0,17;68,7;0,8;-6,1;7,02;302,5;380;235;840;913
TRANSF. 400/225kV 761 MANDARINS;0,35;73;0,63;-7,5;6,91;310,3;380;235;847;921
TRANSF. 400/225kV 763 MANDARINS;0,35;72;0,64;-6,9;6,89;310;380;235;847;921
TRANSF. 400/225kV 763 MIONS;0,22;45;0,23;-8,8;2,48;119,5;388;240;1659;1803
TRANSF. 400/225kV 761 MASTAING;0,29;45,6;0,2;-9,5;2,56;122,3;388;240;1659;1803
TRANSF. 400/225kV 762 MASTAING;0,15;42,5;0,32;-6,6;5,03;124,8;388;240;1659;1803
TRANSF. 400/225kV 761 MAZURES;0,36;69,3;0,64;-7;7,06;296,3;380;235;847;921
TRANSF. 400/225kV 763 MAZURES;0,11;42,2;0,35;-6,6;4,94;121,5;388;240;1661;1806
TRANSF. 400/225kV 761 LATENA;0,26;45,5;0,22;-9,6;2,58;120,4;388;240;1659;1803
TRANSF. 400/225kV 762 LATENA;0,27;45;0,21;-9,2;2,56;119,5;388;240;1659;1803
TRANSF. 400/225kV 763 LATENA;0,27;45,4;0,19;-9,1;2,49;119,3;388;240;1659;1803
TRANSF. 400/225kV 763 MARLENHEIM;0,22;44,9;0,24;-8,6;2,49;118,7;388;240;1659;1803
TRANSF. 400/225kV 761 MARMAGNE;0,06;69,5;0,94;-6,5;7,21;297,5;380;235;810;847
TRANSF. 400/225kV 763 LAUNAY;0,68;70,4;0,54;-13,2;5,45;210,9;380;235;805;918
TRANSF. 400/225kV 761 GROSNE;0,23;45;0,22;-8,9;2,43;120,4;388;240;1659;1803
