OBJECTID;ID;SYMBOLE;ACTEUR;MAJ;MAJ_GEO;TRACE;CONFIG;ETAT;U_MAX;ID_OBJECT;sub_num;ADR_LIT;IDR_LIT;start;u_code;circn;end;code_start;code_end
365;72033043;+A11E6;CBP;1410786059000;1320242145000;1;A;E;6;72033043_365;1;LIT 225kV N0 1 CRENEY - PIQUAGE A PONT-LA-VILLE;CRENEL61ZP.V5;CRENE;6;1;ZP.V5;CRENE;
425;78544111;+S-1E9;LCP;1460462202000;1460460021000;1;S;E;9;78544111_425;1;LIT COURANT CONTINU N0 2 SANTA-LLOGAIA - BAIXAS;.S.LLL92BAIXA;.S.LL;9;2;BAIXA;;BAIXA
457;76812388;+S-1E6;LCP;1461758217000;1461758154000;1;S;E;6;76812388_457;1;LIT 225kV N0 2 MORIHAN - PIQUAGE A KERLAN;MORIHL62ZKERL;MORIH;6;2;ZKERL;MORIH;
596;76206520;+A11E6;JUL;1417606209000;1467127916000;1;A;E;6;76206520_596;1;LIT 225kV N0 1 VILLEMANDEUR - GIEN / TABAR VLEMA 1;VLEMAL61ZGLAC;VLEMA;6;1;ZGLAC;VLEMA;
642;78544211;+S-1E9;LCP;1460462210000;1460460067000;1;S;E;9;78544211_642;1;LIT COURANT CONTINU N0 1 SANTA-LLOGAIA - BAIXAS;.S.LLL91BAIXA;.S.LL;9;1;BAIXA;;BAIXA
717;71085807;+S-1E6;CBP;1416400026000;1193245232000;1;S;E;6;71085807_717;1;LIT 225kV NO 1 SAVIGNY - PIQUAGE A AULNAY-SOUS-BOIS;SAVI5L61ZSAVI;SAVI5;6;1;ZSAVI;SAVI5;
783;74165595;+S-1E6;JUL;1401099968000;1300878387000;1;S;E;6;74165595_783;1;LIT 225kV N0 1 MOULAINE - SOTEL;.SOTEL61MOULA;.SOTE;6;1;MOULA;;MOULA
816;71037279;+A11E6;RDP;1422356142000;1387556480000;1;A;E;6;71037279_816;1;LIT 225kV NO 1 FLEAC-GRANZ / BXLIE FLEAC 1;FLEACL61ZGRA6;FLEAC;6;1;ZGRA6;FLEAC;
944;76623195;+S-1E6;CFP;1413365939000;1379325896000;1;S;E;6;76623195_944;1;LIT 225kV NO 1 ORSONVILLE - PIQUAGE A CROISSY-BEAUBOURG;ORSONL61ZORS6;ORSON;6;1;ZORS6;ORSON;
1002;77630288;+S-1E6;CA;1412345198000;1412345284000;1;S;E;6;77630288_1002;1;LIT 225kV N0 1 PERELLE - PIQUAGE AUX PETITES ILES;PERELL61ZP.IL;PEREL;6;1;ZP.IL;PEREL;
1019;60003049;+A22E64;CBP;1420642915000;1309791753000;1;A;E;6;60003049_1019;1;LIT 225kV NO 1 BEAUCOUZE-CORBI / BXCOU LAVAL 1;BXCOUL61ZCOR6;BXCOU;6;1;ZCOR6;BXCOU;
1066;77112988;+S-1E6;CA;1393342118000;1393343420000;1;S;E;6;77112988_1066;1;LIT 225kV N0 4 FALLOU - PIQUAGE FANAUDES A MONTMAGNY (ZFAN5);FALLOL64ZFAN5;FALLO;6;4;ZFAN5;FALLO;
1086;72030579;+A11E6;CBP;1418041661000;1301927864000;1;A;E;6;72030579_1086;1;LIT 225kV NO 1 BRENNILIS - PIQUAGE A LE CORONG;BRENNL61ZCORO;BRENN;6;1;ZCORO;BRENN;
1168;76541895;+S-1E6;CBP;1413386354000;1376927619000;1;S;E;6;76541895_1168;1;LIT 225kV N0 4 FANAUDES - PIQUAGE FANAUDES A MONTMAGNY (ZFAN5);FANAUL64ZFAN5;FANAU;6;4;ZFAN5;FANAU;
1179;70002080;+A22E66;CBP;1420622595000;1236245887000;1;A;E;6;70002080_1179;1;LIT 225kV N0 1 PIQUAGE LES CARRES A MARCOUSSIS (ZCARR) - PIQUAGE A SEMONVILLE;ZCARRL61ZSEMO;ZCARR;6;1;ZSEMO;;
1189;76879085;+S-1E6;CBP;1416215686000;1387445526000;1;S;E;6;76879085_1189;1;LIT 225kV NO 1 MONTJAY - PIQUAGE A SAINT-JEAN-DE-BEAUREGARD;MTJAYL61ZMTJ5;MTJAY;6;1;ZMTJ5;MTJAY;
1219;78643811;+S-1E6;JUL;1467363704000;1465813914000;1;S;E;6;78643811_1219;1;LIT 225kV N0 1 ETOILE-SUR-RHONE - PIQUAGE A MANGOT;E.RHOL61ZMANG;E.RHO;6;1;ZMANG;E.RHO;
1291;72710279;+A11E6;JUL;1415808612000;1460110226000;1;A;E;6;72710279_1291;1;LIT 225kV NO 1 BEAUREGARD (SAINT-LAURENT-NOUAN)-TERRES-NOIRES (RFF A VILLEFRANCHE SUR CHER );BXRE6L61T.NO6;BXRE6;6;1;T.NO6;;T.NO6
1353;77894825;+A11E6;CFP;1418300749000;1453378211000;1;A;E;6;77894825_1353;1;LIT 225kV NO 1 ROLAMPONT - PIQUAGE A PONT-LA-VILLE;ROLAML61ZP.V5;ROLAM;6;1;ZP.V5;ROLAM;
1371;78675264;+S-2E99;VC;1467158400000;1467202529000;1;S;E;9;78675264_1371;1;LIT COURANT CONTINU N0 3 SELLINDGE (270 KV CC) - MANDARINS;.SELLL93MANDA;.SELL;9;3;MANDA;;MANDA
1376;77568204;+A11E6;CFP;1413365411000;1410513003000;1;A;E;6;77568204_1376;1;LIT 225kV NO 2 MORBRAS - PIQUAGE LANGLOIS A BUSSY-SAINT-MARTIN (ZLAN8);MORBRL62ZLAN8;MORBR;6;2;ZLAN8;MORBR;
